bit16,bit24,bit16_hex,bit24_hex
0011110001011100,100000000000010110001110,3C5C,80058E
0011110001011100,100000000000010110010000,3C5C,800590
0011110001011100,100000000000010110010011,3C5C,800593
0011110001011100,100000000000010110010101,3C5C,800595
0011110001011100,100000000000010110011000,3C5C,800598
0011110001011100,100000000000010110011010,3C5C,80059A
0011110001011100,100000000000010110011101,3C5C,80059D
0011110001011100,100000000000010110011111,3C5C,80059F
0011110001011100,100000000000010110100010,3C5C,8005A2
0011110001011100,100000000000010110100100,3C5C,8005A4
0011110001011100,100000000000010110100111,3C5C,8005A7
0011110001011100,100000000000010110101001,3C5C,8005A9
0011110001011100,100000000000010110101100,3C5C,8005AC
0011110001011100,100000000000010110101110,3C5C,8005AE
0011110001011100,100000000000010110110001,3C5C,8005B1
0011110001011100,100000000000010110110011,3C5C,8005B3
0011110001011100,100000000000010110110110,3C5C,8005B6
0011110001011100,100000000000010110111000,3C5C,8005B8
0011110001011100,100000000000010110111011,3C5C,8005BB
0011110001011100,100000000000010110111101,3C5C,8005BD
0011110001011100,100000000000010111000000,3C5C,8005C0
0011110001011100,100000000000010111000010,3C5C,8005C2
0011110001011100,100000000000010111000101,3C5C,8005C5
0011110001011100,100000000000010111000111,3C5C,8005C7
0011110001011100,100000000000010111001010,3C5C,8005CA
0011110001011100,100000000000010111001100,3C5C,8005CC
0011110001011100,100000000000010111001111,3C5C,8005CF
0011110001011100,100000000000010111010001,3C5C,8005D1
0011110001011100,100000000000010111010100,3C5C,8005D4
0011110001011100,100000000000010111010110,3C5C,8005D6
0011110001011100,100000000000010111011001,3C5C,8005D9
0011110001011100,100000000000010111011011,3C5C,8005DB
0011110001011100,100000000000010111011110,3C5C,8005DE
0011110001011100,100000000000010111100000,3C5C,8005E0
0011110001011100,100000000000010111100011,3C5C,8005E3
0011110001011100,100000000000010111100101,3C5C,8005E5
0011110001011100,100000000000010111101000,3C5C,8005E8
0011110001011100,100000000000010111101010,3C5C,8005EA
0011110001011100,100000000000010111101101,3C5C,8005ED
0011110001011100,100000000000010111101111,3C5C,8005EF
0011110001011100,100000000000010111110010,3C5C,8005F2
0011110001011100,100000000000010111110100,3C5C,8005F4
0011110001011100,100000000000010111110111,3C5C,8005F7
0011110001011100,100000000000010111111001,3C5C,8005F9
0011110001011100,100000000000010111111100,3C5C,8005FC
0011110001011100,100000000000010111111110,3C5C,8005FE
0011110001011100,100000000000011000000001,3C5C,800601
0011110001011100,100000000000011000000011,3C5C,800603
0011110001011100,100000000000011000000110,3C5C,800606
0011110001011100,100000000000011000001000,3C5C,800608
0011110001011100,100000000000011000001011,3C5C,80060B
0011110001011100,100000000000011000001101,3C5C,80060D
0011110001011100,100000000000011000010000,3C5C,800610
0011110001011100,100000000000011000010010,3C5C,800612
0011110001011100,100000000000011000010101,3C5C,800615
0011110001011100,100000000000011000010111,3C5C,800617
0011110001011100,100000000000011000011010,3C5C,80061A
0011110001011100,100000000000011000011100,3C5C,80061C
0011110001011100,100000000000011000011111,3C5C,80061F
0011110001011100,100000000000011000100001,3C5C,800621
0011110001011100,100000000000011000100100,3C5C,800624
0011110001011100,100000000000011000100110,3C5C,800626
0011110001011100,100000000000011000101001,3C5C,800629
0011110001011100,100000000000011000101011,3C5C,80062B
0011110001011100,100000000000011000101110,3C5C,80062E
0011110001011100,100000000000011000110000,3C5C,800630
0011110001011100,100000000000011000110011,3C5C,800633
0011110001011100,100000000000011000110101,3C5C,800635
0011110001011100,100000000000011000111000,3C5C,800638
0011110001011100,100000000000011000111010,3C5C,80063A
